amfi_code,scheme_name,fund_house,category,cagr_1yr,cagr_3yr,total_records
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,-2.23,1.29,1149
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,3.71,3.92,1149
100033,HDFC Mid-Cap Opportunities Fund - Regular - G,HDFC Mutual Fund,Mid Cap,53.28,32.43,1149
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,47.96,28.96,1149
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,-24.0,-4.15,1149
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,7.24,6.31,1149
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,20.22,19.66,1149
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,-16.81,-0.77,1149
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,13.59,25.55,1149
118632,Nippon India Large Cap Fund - Regular - Growt,Nippon India MF,Large Cap,34.01,22.65,1149
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,25.56,21.08,1149
118634,Nippon India Small Cap Fund - Regular - Growt,Nippon India MF,Small Cap,15.82,8.01,1149
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,22.51,20.0,1149
118636,Nippon India Gilt Securities Fund - Regular -,Nippon India MF,Gilt,10.46,4.06,1149
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,1.61,0.53,1149
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,19.78,20.81,1149
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,22.28,35.1,1149
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,-42.82,-11.7,1149
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,5.53,5.84,1149
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,60.49,30.45,1149
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,5.71,16.26,1149
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,82.85,26.66,1149
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,13.96,-1.34,1149
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,8.5,13.97,1149
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,13.07,32.48,1149
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,29.63,31.77,1149
120506,ICICI Pru Value Discovery Fund - Regular - Gr,ICICI Prudential MF,Value,41.85,18.42,1149
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,7.43,7.39,1149
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,16.85,17.26,1149
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,22.52,7.75,1149
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,26.68,29.58,1149
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,7.13,6.69,1149
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,28.7,18.43,1149
125498,HDFC Mid-Cap Opportunities Fund - Direct - Gr,HDFC Mutual Fund,Mid Cap,15.46,11.24,1149
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,20.38,33.99,1149
148568,Mirae Asset Emerging Bluechip Fund - Regular ,Mirae Asset MF,Large & Mid Cap,14.28,14.74,1149
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,39.78,29.17,1149
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,18.12,18.04,1149
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,21.5,26.86,1149
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,65.2,26.99,1149
