dataset,rows,cols,nulls,duplicates,anomalies
01_fund_master,40,15,0,0,None
02_nav_history,46000,3,0,0,None
03_aum_by_fund_house,90,5,0,0,None
04_monthly_sip_inflows,48,6,12,0,Nulls found: {'yoy_growth_pct': 12}
05_category_inflows,144,3,0,0,None
06_industry_folio_count,21,6,0,0,None
07_scheme_performance,40,19,0,0,Negative values in column 'max_drawdown_pct'
08_investor_transactions,32778,13,0,0,None
09_portfolio_holdings,322,8,0,0,None
10_benchmark_indices,8050,3,0,0,None
nav_118632,3298,7,0,0,None
nav_119092,3565,7,0,0,None
nav_119551,3236,7,0,0,None
nav_120503,3307,7,0,0,None
nav_120841,3301,7,0,0,None
nav_five_schemes_combined,16707,7,0,0,None
nav_hdfc_top100_125497,3091,7,0,0,None
