amfi_code,scheme_name,fund_house,category,cagr_3yr,sharpe_computed,sortino_computed,max_drawdown_pct,alpha_ann_pct,beta_computed,expense_ratio_pct,score_3yr_return,score_sharpe,score_alpha,score_expense,score_drawdown,composite_score,rank
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,-0.77,-0.2058,-0.3472,-28.0,3.1687,-0.025,1.51,92.31,89.74,94.87,60.26,87.18,86.86,1
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,1.29,-0.2015,-0.351,-24.73,5.4297,-0.1159,1.55,87.18,87.18,84.62,79.49,84.62,85.26,2
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,-11.7,-0.076,-0.1282,-51.68,5.8691,-0.0793,1.38,100.0,82.05,82.05,41.03,97.44,82.82,3
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,0.53,0.0308,0.0526,-14.4,6.4245,0.0314,1.64,89.74,76.92,74.36,98.72,38.46,79.68,4
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,-4.15,0.1627,0.2766,-35.45,11.9634,-0.0789,1.53,97.44,69.23,58.97,70.51,94.87,78.4,5
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,-1.34,-0.0572,-0.0944,-52.57,5.4249,-0.0219,0.72,94.87,79.49,87.18,11.54,100.0,77.5,6
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,7.75,0.076,0.1247,-24.0,7.4518,0.0254,1.56,69.23,74.36,66.67,82.05,82.05,73.21,7
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,3.92,-0.5671,-0.9418,-4.31,4.2301,0.0034,0.56,84.62,97.44,92.31,2.56,7.69,69.36,8
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,6.31,-0.8156,-1.681,-0.16,6.1087,-0.0014,0.79,76.92,100.0,76.92,25.64,5.13,67.82,9
118636,Nippon India Gilt Securities Fund - Regular -,Nippon India MF,Gilt,4.06,-0.3566,-0.6135,-8.32,5.2437,-0.0103,0.55,82.05,94.87,89.74,0.0,12.82,67.56,10
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,5.84,-0.2266,-0.3768,-4.33,5.892,-0.0181,0.77,79.49,92.31,79.49,20.51,10.26,66.92,11
118634,Nippon India Small Cap Fund - Regular - Growt,Nippon India MF,Small Cap,8.01,0.4484,0.746,-23.34,16.1371,0.1047,1.53,66.67,64.1,48.72,70.51,79.49,64.3,12
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,17.26,0.4943,0.8626,-17.57,12.6997,0.0283,1.59,53.85,58.97,53.85,87.18,58.97,60.64,13
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,6.69,-0.0887,-0.1877,-0.12,6.4826,-0.0018,0.6,74.36,84.62,71.79,5.13,2.56,58.85,14
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,18.04,0.464,0.7621,-14.11,11.9487,0.0755,1.54,51.28,61.54,61.54,75.64,35.9,58.01,15
125498,HDFC Mid-Cap Opportunities Fund - Direct - Gr,HDFC Mutual Fund,Mid Cap,11.24,0.3006,0.5088,-21.12,12.0648,-0.003,0.78,64.1,66.67,56.41,23.08,71.79,57.82,16
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,19.66,0.8171,1.4357,-10.86,,,1.57,43.59,38.46,98.72,84.62,15.38,56.67,17
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,25.55,0.6195,1.0888,-21.29,17.0354,-0.0481,1.64,30.77,53.85,43.59,98.72,74.36,53.66,18
