amfi_code,scheme_name,fund_house,category,risk_grade,var_95_daily_pct,cvar_95_daily_pct,var_99_daily_pct,cvar_99_daily_pct,var_95_annual_pct,n_observations
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Very High,-2.6859,-3.2384,-3.6078,-3.9993,-42.638,1149
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Very High,-2.6188,-3.1667,-3.4203,-3.9845,-41.5728,1149
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Very High,-2.6021,-3.2459,-3.7071,-4.2086,-41.3075,1149
118634,Nippon India Small Cap Fund - Regular - Growt,Nippon India MF,Small Cap,Very High,-2.5438,-3.2304,-3.5476,-4.2408,-40.3818,1149
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Very High,-2.4507,-3.0595,-3.3403,-3.8839,-38.9037,1149
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Very High,-2.3483,-3.1036,-3.679,-4.0836,-37.2782,1149
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,High,-1.922,-2.3251,-2.5472,-2.903,-30.5113,1149
100033,HDFC Mid-Cap Opportunities Fund - Regular - G,HDFC Mutual Fund,Mid Cap,High,-1.9034,-2.3456,-2.5443,-3.0326,-30.2148,1149
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,High,-1.8892,-2.4342,-2.7518,-3.185,-29.9898,1149
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,High,-1.848,-2.426,-2.7514,-3.2009,-29.3365,1149
125498,HDFC Mid-Cap Opportunities Fund - Direct - Gr,HDFC Mutual Fund,Mid Cap,High,-1.8365,-2.3094,-2.5098,-3.0434,-29.154,1149
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,High,-1.8219,-2.2725,-2.5667,-2.975,-28.921,1149
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,High,-1.7882,-2.2607,-2.6259,-2.8325,-28.3869,1149
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,High,-1.7118,-2.1328,-2.4551,-2.7427,-27.1743,1149
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Moderately High,-1.5232,-1.9411,-2.2572,-2.4905,-24.1794,1149
148568,Mirae Asset Emerging Bluechip Fund - Regular ,Mirae Asset MF,Large & Mid Cap,Moderately High,-1.4712,-1.8765,-2.1351,-2.289,-23.3538,1149
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Moderate,-1.4592,-1.831,-1.9818,-2.4924,-23.1637,1149
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Moderately High,-1.4508,-1.8381,-2.0148,-2.4241,-23.0306,1149
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Moderate,-1.4474,-1.8402,-1.9471,-2.4688,-22.9765,1149
120506,ICICI Pru Value Discovery Fund - Regular - Gr,ICICI Prudential MF,Value,Moderately High,-1.4388,-1.9405,-2.2091,-2.5915,-22.841,1149
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Moderate,-1.4364,-1.806,-2.0392,-2.2138,-22.8016,1149
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Moderate,-1.4226,-1.7487,-1.9294,-2.2527,-22.5823,1149
118632,Nippon India Large Cap Fund - Regular - Growt,Nippon India MF,Large Cap,Moderate,-1.3954,-1.7619,-1.9392,-2.2569,-22.1514,1149
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Moderate,-1.375,-1.7328,-2.0292,-2.1422,-21.8268,1149
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Moderate,-1.3728,-1.7494,-1.9416,-2.2149,-21.7928,1149
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Moderate,-1.356,-1.7623,-2.0138,-2.3998,-21.5255,1149
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Moderate,-1.355,-1.7451,-1.9885,-2.2721,-21.51,1149
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Moderate,-1.3501,-1.7336,-2.0713,-2.2908,-21.4321,1149
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Moderate,-1.3443,-1.663,-1.9226,-2.1553,-21.3393,1149
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Moderate,-1.3282,-1.7439,-1.9648,-2.4748,-21.084,1149
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Moderate,-1.3142,-1.6363,-1.864,-2.0092,-20.8619,1149
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Moderate,-1.2846,-1.6397,-1.7875,-2.179,-20.3928,1149
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Moderate,-1.2613,-1.549,-1.7732,-1.9205,-20.0219,1149
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Moderate,-1.2554,-1.6177,-1.8942,-2.1492,-19.9284,1149
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Low,-0.3938,-0.5014,-0.546,-0.6604,-6.2518,1149
118636,Nippon India Gilt Securities Fund - Regular -,Nippon India MF,Gilt,Low,-0.3804,-0.4919,-0.5504,-0.6518,-6.0389,1149
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Low,-0.3793,-0.4994,-0.5832,-0.6963,-6.0216,1149
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Low,-0.0285,-0.0411,-0.0506,-0.0591,-0.4521,1149
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Low,-0.0269,-0.0422,-0.0527,-0.062,-0.4265,1149
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Low,-0.0222,-0.0373,-0.0508,-0.057,-0.3517,1149
